138.4504,-119.9947,-162.7308,55.7695,-166.632,89.9984,0,-607.7507,-724.8668,684.3954,45.0817,172.7084,5.1491,-0.054932,7.6767,1.2554,0.38132,-0.002243,0.017944,9.3563,9.6701,-30.6017,-5.6467,3.7172,-0.032769,0,0,0,0,0,0,0,-0.059085,4,0.0041535,0,0,16207549,00000000,00000000
150.6115,-119.9961,-162.7329,55.7702,-166.6326,89.9963,-0.002039,-607.7775,-724.8626,684.3637,45.0809,172.7099,5.153,-0.032043,7.695,1.2599,0.37683,-0.013458,0.020187,8.9096,9.8138,-30.9615,-5.8468,3.5762,0.015171,0,0,0,0,0,0,0,-0.036562,4,0.0045183,0,0,16207549,00000000,00000000
157.015,-119.9947,-162.7308,55.7688,-166.6333,89.9977,-0.0041154,-607.748,-724.8689,684.3869,45.0755,172.71,5.1524,-0.0045776,7.695,1.2532,0.38132,-0.011215,0.011215,12.4761,8.0187,-31.2873,-5.5535,4.1761,-0.34501,0,0,0,0,0,0,0,-0.0092881,4,0.0047105,0,0,16207549,00000000,00000000
167.0816,-119.9961,-162.7335,55.7723,-166.6326,89.9997,-0.0027494,-607.7652,-724.8617,684.365,45.0793,172.7073,5.1495,0.8606,7.6813,1.2442,0.38132,-0.015701,0.017944,4.1678,12.883,-31.1284,-6.3487,2.746,0.3422,0,0,0,0,0,0,0,0.85558,4,0.0050124,0,0,16207549,00000000,00000000
180.1787,-119.9974,-162.7329,55.7729,-166.6326,89.997,-0.0034324,-607.7828,-724.8343,684.3802,45.081,172.71,5.1486,1.0345,7.6721,1.2532,0.38805,-0.0044861,0.0089722,4.7947,12.2331,-30.6343,-6.0179,2.8906,0.1851,0,0,0,0,0,0,0,1.0291,4,0.0054054,0,0,16211552,00000000,00000000
200.6233,-119.981,-162.7301,55.7702,-166.6326,89.9997,-0.0041154,-607.5624,-725.0055,684.4086,45.0547,172.7146,5.1477,0.96588,7.6904,1.2868,0.37907,-0.0089722,0.020187,10.8188,7.4137,-30.066,-5.2804,3.8179,-0.15104,0,0,0,0,0,0,0,0.95986,4,0.0060187,0,0,16211552,00000000,00000000
211.4696,-119.9775,-162.7315,55.7716,-166.6313,89.9956,-0.0054815,-607.5315,-725.0445,684.3989,45.0484,172.7208,5.1474,0.91553,7.7225,1.2464,0.3858,-0.0044861,0.013458,15.4355,6.7148,-32.4668,-5.4622,4.7809,-0.50815,0,0,0,0,0,0,0,0.90918,4,0.0063441,0,0,16211552,00000000,00000000
219.46,-119.9693,-162.7294,55.7729,-166.6306,89.997,-0.0041154,-607.4123,-725.1095,684.4426,45.0381,172.7237,5.1409,0.88806,7.6904,1.2554,0.39029,-0.0089722,0.02243,14.7761,6.5978,-31.2386,-5.2267,4.4862,-0.36338,0,0,0,0,0,0,0,0.88148,4,0.0065838,0,0,16211552,00000000,00000000
228.4574,-119.9624,-162.7308,55.7736,-166.6313,89.9977,-0.001356,-607.3303,-725.1872,684.4223,45.0318,172.7245,5.1429,0.91095,7.6859,1.2308,0.37907,-0.0044861,0.017944,14.9214,7.0898,-31.8134,-5.4955,4.6844,-0.41296,0,0,0,0,0,0,0,0.9041,4,0.0068537,0,0,16216665,00000000,00000000
239.2457,-119.9466,-162.7315,55.7716,-166.6347,89.997,-0.0041154,-607.1336,-725.3643,684.3883,45.0035,172.731,5.1526,1.1765,7.6813,1.2464,0.37683,-0.002243,0.02243,10.4646,8.9068,-31.1161,-5.6873,3.9302,-0.052983,0,0,0,0,0,0,0,1.1693,4,0.0071774,0,0,16216665,00000000,00000000
252.4784,-119.9322,-162.7287,55.7729,-166.6313,89.9991,-0.001356,-606.9367,-725.4959,684.4516,44.9863,172.7363,5.1409,1.1444,7.6904,1.2577,0.41048,-0.0089722,0.02243,11.4847,8.9998,-31.3007,-5.4003,3.8263,-0.10873,0,0,0,0,0,0,0,1.1368,4,0.0075744,0,0,16216665,00000000,00000000
262.5705,-119.9185,-162.7294,55.7723,-166.634,89.9984,-0.002039,-606.7654,-725.6433,684.4278,44.9645,172.7418,5.1475,1.1581,7.695,1.2487,0.3858,-0.0067291,0.017944,11.2472,8.7938,-31.5285,-5.6619,3.9883,-0.16054,0,0,0,0,0,0,0,1.1503,4,0.0078771,0,0,16216665,00000000,00000000
271.4923,-119.8876,-162.7294,55.7695,-166.6313,89.9977,-0.0041154,-606.3858,-725.9937,684.4198,44.9151,172.7562,5.1484,1.1993,7.6859,1.2554,0.37235,-0.0044861,0.017944,10.3923,8.5244,-30.9243,-5.6576,3.9021,-0.12055,0,0,0,0,0,0,0,1.1912,4,0.0081448,0,0,16216665,00000000,00000000
283.5615,-119.8718,-162.7329,55.7723,-166.6306,89.9977,-0.0027494,-606.1964,-726.1748,684.3825,44.8935,172.7622,5.1488,1.2405,7.6492,1.2464,0.38356,-0.011215,0.017944,10.0348,9.0311,-30.2121,-5.5463,3.6364,-0.089349,0,0,0,0,0,0,0,1.232,4,0.0085068,0,0,16211552,00000000,00000000
296.6248,-119.8347,-162.7321,55.7723,-166.6313,89.9977,-0.0041154,-605.7201,-726.5603,684.3919,44.8358,172.7783,5.1495,1.2772,7.6859,1.2532,0.38132,-0.0067291,0.020187,9.6942,9.2866,-31.0615,-5.7201,3.7141,-0.032439,0,0,0,0,0,0,0,1.2683,4,0.0088987,0,0,16211552,00000000,00000000
