Time [sec], q1 (deg), q2 (deg), q3 (deg), q4 (deg), q5 (deg), q6 (deg), Px (mm), Py (mm), Pz (mm), Rx (deg), Ry (deg), Rz (deg), c1 (A), c2 (A), c3 (A), c4 (A), c5 (A), c6 (A), Fx R (N), Fy R (N), Fz R (N), Tx R (Nm), Ty R (Nm), Tz R (Nm), Fx A (N), Fy A (N), Fz A (N), Tx A (Nm), Ty A (Nm), Tz A (Nm), Din, Dout
1648482981957.612, -120.09769234727942, -162.93270463263747, 55.40083915051066, -166.4452250359649, 89.97021604950774, -0.027447342550782197, -611.5393605218142, -728.0155395637829, 679.4378992511455, 45.1707850513912, 172.5835257484587, 5.7307384202595655, 0.2243042290210724, 6.962585926055908, 1.2621393203735352, 0.2332763969898224, -0.0852356031537056, -0.02467346377670765, -0.9155431892888349, 4.353751990957348, -7.989529885026102, -3.3362950933729727, 0.08924834733885537, -0.2329011562912317, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482982958.7302, -120.09905838511342, -162.9306282551298, 55.39807975408598, -166.4438589981309, 89.97021604950774, -0.026081304716779646, -611.5591155631998, -728.0019717072169, 679.4591430408656, 45.17493666695757, 172.58264683124006, 5.729713058561893, 0.2380371391773224, 6.948853015899658, 1.2621393203735352, 0.2646789848804474, -0.0964508131146431, -0.02243042178452015, -0.689674994967705, 5.027827600273976, -7.831968076624535, -3.1456528713774157, -0.21043748979410098, -0.20309977667073512, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482983959.6646, -120.09837536619642, -162.93338765155448, 55.401522169427665, -166.4466183945556, 89.9709058986139, -0.02813036146778347, -611.5446457742952, -728.0078195586228, 679.4266363146425, 45.17053358364175, 172.5824325798027, 5.732502631757833, 0.2426147758960724, 6.944275379180908, 1.2576557397842407, 0.2332763969898224, -0.0897216871380806, -0.02467346377670765, -1.2136715450173365, 4.501893472726561, -7.5878035337195255, -3.326026661715084, -0.04431660994523913, -0.21601937557034556, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482984960.022, -120.09837536619642, -162.93131127404678, 55.40015613159366, -166.4486674513066, 89.9709058986139, -0.026081304716779646, -611.5382189664253, -727.991675685778, 679.4458603213924, 45.17350118550508, 172.58131777763717, 5.734557837516231, 0.2517700493335724, 6.944275379180908, 1.2643811702728271, 0.2243042290210724, -0.0897216871380806, -0.02243042178452015, -1.6962811834527949, 4.24150546302298, -7.29550287127262, -3.336698743569434, -0.09497019972738172, -0.16935385511896023, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482985960.844, -120.09700932836242, -162.93338765155448, 55.39947311267666, -166.4479844323896, 89.9709058986139, -0.026081304716779646, -611.5341109712141, -728.0291707381356, 679.4098480113877, 45.17130455679873, 172.58125492859597, 5.737682303531962, 0.2014160305261612, 6.958008289337158, 1.2531720399856567, 0.2332763969898224, -0.0807495191693306, -0.01570129580795765, -0.4974103352254595, 4.41649725024802, -8.148568039475458, -3.3499775650323853, 0.21612451111152664, -0.13549201092567154, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482986961.3281, -120.09769234727942, -162.93270463263747, 55.40083915051066, -166.4479844323896, 89.97227876663709, -0.029496399301786023, -611.528012414118, -728.0124551708018, 679.4294422170841, 45.16706074757069, 172.58154215552946, 5.73395104457328, 0.2334595024585724, 6.944275379180908, 1.2576557397842407, 0.2153320610523224, -0.0919647291302681, -0.02243042178452015, -1.4074263670577705, 4.070775925891311, -7.4449826048628065, -3.4471904626372023, -0.0033552862602942504, -0.19328863083602624, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482987962.329, -120.09561596977174, -162.93407067047147, 55.40288820726167, -166.4459080548819, 89.9709058986139, -0.024715266882777098, -611.5133201856462, -728.0349507166998, 679.4259896989927, 45.17169366388003, 172.5827700405258, 5.730551173786062, 0.2609253227710724, 6.948853015899658, 1.2576557397842407, 0.2467346489429474, -0.0919647291302681, -0.004486084450036287, -1.4933706424016493, 5.119720840679813, -7.8312899605482045, -3.3406574202519153, -0.19233258062998845, 0.07454384578445847, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482988963.7617, -120.09769234727942, -162.92994523621277, 55.39876277300298, -166.4486674513066, 89.97227876663709, -0.026764323633780923, -611.5233648094845, -727.997759406693, 679.4596898688854, 45.17116805215293, 172.58056860972496, 5.7340156576629875, 0.2563476860523224, 6.967163562774658, 1.2397211790084839, 0.2444916069507599, -0.0829925611615181, -0.01794433780014515, -0.7719872161743567, 5.5444462447340035, -8.943870935903849, -3.5491429474288747, 0.1482386061725517, -0.11820401217661752, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482989965.326, -120.09629898868874, -162.93407067047147, 55.40083915051066, -166.4466183945556, 89.96953303059074, -0.026764323633780923, -611.5285767041953, -728.036818515956, 679.4112485588096, 45.16964435532646, 172.58368812088676, 5.735199897207527, 0.2380371391773224, 6.953430652618408, 1.2711066007614136, 0.2512207329273224, -0.0919647291302681, -0.02018737979233265, -1.1329162758858988, 4.56929747938536, -7.5672803187768265, -3.149507120982448, -0.1743707403208074, -0.16093758802467692, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482990965.3281, -120.09974140403042, -162.93131127404678, 55.39947311267666, -166.4459080548819, 89.97227876663709, -0.027447342550782197, -611.5570750551051, -727.990820943273, 679.4502387028466, 45.1733952868254, 172.5805413075966, 5.730800371367178, 0.2700805962085724, 6.935120105743408, 1.2733484506607056, 0.2287903130054474, -0.0942077711224556, -0.02018737979233265, -2.193732359670489, 4.209661784572407, -6.764337964007145, -3.226013336943658, -0.3031741966382002, -0.11737872965277169, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482991967.0103, -120.09974140403042, -162.92994523621277, 55.40015613159366, -166.4466183945556, 89.9709058986139, -0.027447342550782197, -611.5505220283145, -727.9718861680856, 679.4745302510303, 45.17375108725638, 172.5822445318639, 5.7293903607149215, 0.2151489406824112, 6.962585926055908, 1.2531720399856567, 0.2512207329273224, -0.0897216871380806, -0.02018737979233265, -0.30639041547555973, 4.902787053967587, -8.428099701939207, -3.328583783306712, 0.06266641522779084, -0.1951911730448313, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482992967.6353, -120.09905838511342, -162.93131127404678, 55.40015613159366, -166.4473014134726, 89.97159574772009, -0.026764323633780923, -611.5465190146731, -727.9892865909887, 679.4500984537009, 45.17347478078718, 172.58102528375463, 5.732188234818977, 0.2563476860523224, 6.990051746368408, 1.2666230201721191, 0.2400055229663849, -0.0897216871380806, -0.02243042178452015, -1.2544401511009353, 4.877587983697704, -8.712770793919344, -3.488906409425652, 0.002616657392778207, -0.1746764561380134, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482993967.8413, -120.09629898868874, -162.93338765155448, 55.40083915051066, -166.4466183945556, 89.9709058986139, -0.02539828579977837, -611.5234805566377, -728.0321453669847, 679.4224219557219, 45.17150272798414, 172.58211459540826, 5.733626107997294, 0.2700805962085724, 6.962585926055908, 1.2621393203735352, 0.2198181450366974, -0.0897216871380806, -0.01794433780014515, -1.9518542182068657, 4.541580330653383, -7.8762610784125355, -3.5289126155804524, -0.061320364474005996, -0.0905485740900055, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482994968.6333, -120.10179046078143, -162.93407067047147, 55.40015613159366, -166.4466183945556, 89.97159574772009, -0.02813036146778347, -611.5940741176265, -727.985710825829, 679.4071202068345, 45.17535629875143, 172.5797161869607, 5.735194256611999, 0.2334595024585724, 6.930542469024658, 1.2643811702728271, 0.2557068169116974, -0.0942077711224556, -0.01794433780014515, -1.0005503337253177, 4.64445761276887, -7.1411787803596924, -3.0618179982028044, -0.24370712645010018, -0.13839696735944435, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482995968.634, -120.09561596977174, -162.93338765155448, 55.40220518834467, -166.4493504702236, 89.97159574772009, -0.027447342550782197, -611.5024035998827, -728.0268362009322, 679.4223884712067, 45.16713034354583, 172.5821258263837, 5.735357027232366, 0.2471924126148224, 6.944275379180908, 1.2621393203735352, 0.2467346489429474, -0.0852356031537056, -0.006729126907885075, -1.3872198744507918, 4.829542643911485, -7.549873814470501, -3.205088138276169, -0.12297657579310495, 0.0378273650017759, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648482996968.6353, -120.09837536619642, -162.92994523621277, 55.40288820726167, -166.4486674513066, 89.97227876663709, -0.026081304716779646, -611.5195175209243, -727.9667173148592, 679.484940909435, 45.17356754432597, 172.5812729936534, 5.727856203051396, 0.2517700493335724, 6.935120105743408, 1.2486884593963623, 0.2624359428882599, -0.0919647291302681, -0.01345825381577015, -0.8450534154686695, 5.42598326654244, -7.841505412256846, -3.2155784406561594, -0.1760025986082735, -0.06480970284137366, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
