Time [sec], q1 (deg), q2 (deg), q3 (deg), q4 (deg), q5 (deg), q6 (deg), Px (mm), Py (mm), Pz (mm), Rx (deg), Ry (deg), Rz (deg), c1 (A), c2 (A), c3 (A), c4 (A), c5 (A), c6 (A), Fx R (N), Fy R (N), Fz R (N), Tx R (Nm), Ty R (Nm), Tz R (Nm), Fx A (N), Fy A (N), Fz A (N), Tx A (Nm), Ty A (Nm), Tz A (Nm), Din, Dout
1648478458184.718, -120.09769234727942, -162.93131127404678, 55.40015613159366, -166.4438589981309, 89.97434148376642, -0.026764323633780923, -611.5276849291746, -728.0165126064946, 679.4607775731004, 45.17119857054238, 172.58002974268425, 5.725892146742587, 0.2288818657398224, 6.985474109649658, 1.1702251434326172, 0.2915954887866974, -0.0538330152630806, 0.0269165076315403, 1.5840419524246707, 8.551780082776082, -12.138822822810871, -3.8736281304138833, 0.8191446863896614, 0.44182777782221483, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648478459184.93, -120.09769234727942, -162.93131127404678, 55.40288820726167, -166.4438589981309, 89.97434148376642, -0.026764323633780923, -611.5188898403883, -728.0010633260435, 679.4775063308003, 45.171425049899355, 172.58085270649286, 5.721813025204485, 0.2197265923023224, 6.889343738555908, 1.1724668741226196, 0.3028106987476349, -0.0672912672162056, 0.02018737979233265, 1.358197573783726, 7.880742191340742, -9.291395474732669, -3.273788056504823, 0.31825720626178655, 0.34122417092842605, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648478460186.6252, -120.09769234727942, -162.9306282551298, 55.40288820726167, -166.4438589981309, 89.97296861574326, -0.02539828579977837, -611.5204053806941, -727.9926679819987, 679.4886285671879, 45.17380252227157, 172.5818496943316, 5.721407109241739, 0.2426147758960724, 6.953430652618408, 1.1993685960769653, 0.2871094048023224, -0.0650482252240181, 0.02018737979233265, 0.515865419490039, 7.529578273475058, -10.195500332882768, -3.5129041619729224, 0.3797976174420325, 0.3762539152759806, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648478461186.9236, -120.09837536619642, -162.93202161372048, 55.401522169427665, -166.4452250359649, 89.97296861574326, -0.026081304716779646, -611.5374213550647, -728.0015841063292, 679.453280296069, 45.1734623328569, 172.58057618629212, 5.727543252543248, 0.2014160305261612, 6.958008289337158, 1.1702251434326172, 0.3005676567554474, -0.0650482252240181, 0.02467346377670765, 2.0383459956371754, 8.265257115143612, -11.395852944153965, -3.680765039373704, 0.6488872646672565, 0.37213494491718996, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648478462186.936, -120.09700932836242, -162.93202161372048, 55.40220518834467, -166.4452250359649, 89.97296861574326, -0.026764323633780923, -611.5171107484675, -728.0127263224563, 679.4574705161035, 45.17043841188467, 172.5816104319143, 5.726538208166342, 0.2380371391773224, 6.944275379180908, 1.1881595849990845, 0.2871094048023224, -0.0560760572552681, 0.0314025916159153, 0.6339690395853654, 7.800774248050823, -10.288632790799188, -3.523339487903538, 0.5006922270703933, 0.5287710675843248, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648478463187.9827, -120.09700932836242, -162.93202161372048, 55.40288820726167, -166.44454201704792, 89.97296861574326, -0.02539828579977837, -611.5174404586838, -728.0097855583156, 679.4637454125912, 45.172620651088224, 172.58151659606955, 5.724524536315563, 0.2746582329273224, 6.912231922149658, 1.1859177350997925, 0.2848663628101349, -0.0583190992474556, 0.02243042178452015, -0.019452085760696347, 7.844443925064955, -9.383532411392812, -3.422218578257922, 0.3104832224431954, 0.4496391140784721, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648478464189.3347, -120.09700932836242, -162.93202161372048, 55.401522169427665, -166.44454201704792, 89.97365163466026, -0.026081304716779646, -611.5194382196853, -728.0188604881779, 679.4554017783136, 45.17134413045405, 172.5807141424121, 5.726258875820449, 0.2197265923023224, 6.994629383087158, 1.181434154510498, 0.2983246147632599, -0.0628051832318306, 0.02243042178452015, 1.714051958515582, 8.342139910944264, -12.101507404754896, -3.81136988146469, 0.696881314851103, 0.36428929111743746, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648478465190.809, -120.09700932836242, -162.93202161372048, 55.40428156585235, -166.4438589981309, 89.97296861574326, -0.02881338038478475, -611.5101995038814, -728.0057992961443, 679.4744260218662, 45.16762308203053, 172.58337616687228, 5.721347153782762, 0.2471924126148224, 6.930542469024658, 1.1634997129440308, 0.2960815727710724, -0.0560760572552681, 0.02467346377670765, 1.2065228675661945, 8.565614769071011, -10.75392344905268, -3.6225502829286405, 0.5859630463715519, 0.43422228538670005, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648478466191.464, -120.09700932836242, -162.93202161372048, 55.40220518834467, -166.44180994137992, 89.97434148376642, -0.027447342550782197, -611.5181435302933, -728.023864476545, 679.468048577373, 45.169431701736706, 172.581560626745, 5.720822804778667, 0.2288818657398224, 6.912231922149658, 1.1993685960769653, 0.2938385307788849, -0.0650482252240181, 0.02243042178452015, 0.5583382515359878, 7.257024998662928, -9.023095564268823, -3.2113664386185374, 0.24105197003327428, 0.3967050829723009, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648478467193.9526, -120.09837536619642, -162.93202161372048, 55.401522169427665, -166.4479844323896, 89.97502450268342, -0.026764323633780923, -611.5275994640493, -727.9976417975009, 679.4448071019702, 45.17180757652283, 172.57810219442044, 5.7307882845681855, 0.2288818657398224, 6.976318836212158, 1.1859177350997925, 0.2960815727710724, -0.0650482252240181, 0.0269165076315403, 1.2571395775820893, 8.158936262302804, -11.390620275110683, -3.7101799142897844, 0.5454915719979548, 0.43960625858147656, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
