Time [sec], q1 (deg), q2 (deg), q3 (deg), q4 (deg), q5 (deg), q6 (deg), Px (mm), Py (mm), Pz (mm), Rx (deg), Ry (deg), Rz (deg), c1 (A), c2 (A), c3 (A), c4 (A), c5 (A), c6 (A), Fx R (N), Fy R (N), Fz R (N), Tx R (Nm), Ty R (Nm), Tz R (Nm), Fx A (N), Fy A (N), Fz A (N), Tx A (Nm), Ty A (Nm), Tz A (Nm), Din, Dout
1648486800895.2617, -120.09629898868874, -162.93270463263747, 55.401522169427665, -166.4452250359649, 89.96609744543822, -0.024715266882777098, -611.5323951915445, -728.0192687840345, 679.4419743455171, 45.173669510336616, 172.5871852528935, 5.73155928064036, 0.2655029594898224, 6.935120105743408, 1.2733484506607056, 0.2601929008960724, -0.0785064771771431, -0.01794433780014515, -1.6214494359371994, 4.825950781534951, -7.016431744153118, -2.921334084835108, -0.20916208183314736, -0.08448025927485242, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486801895.9941, -120.09905838511342, -162.93131127404678, 55.401522169427665, -166.4473014134726, 89.96747031346139, -0.027447342550782197, -611.5513012685842, -727.9763949743668, 679.4583949338498, 45.17333399735173, 172.58554770937798, 5.731888905126098, 0.2197265923023224, 6.944275379180908, 1.2688647508621216, 0.2377624809741974, -0.0874786451458931, -0.006729126907885075, -1.261568845654502, 4.2217698802517045, -7.262078508123256, -3.1733917029213297, -0.09704412838598665, 0.010991937078811978, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486802896.997, -120.09700932836242, -162.93202161372048, 55.40288820726167, -166.4486674513066, 89.96953303059074, -0.02539828579977837, -611.5195605072015, -727.9944342717591, 679.4509449102125, 45.172923411755235, 172.583540735177, 5.732166879873081, 0.2655029594898224, 6.971741199493408, 1.2643811702728271, 0.2444916069507599, -0.0829925611615181, -0.02018737979233265, -1.4227200754975622, 4.994107213009771, -8.274479133577245, -3.348570998317838, -0.01710260569068356, -0.1264253879902113, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486803897.2664, -120.09905838511342, -162.93202161372048, 55.401522169427665, -166.4459080548819, 89.96747031346139, -0.02813036146778347, -611.556057115267, -727.9863441101239, 679.4510943626237, 45.17236544721438, 172.58598191254887, 5.730846608564202, 0.2471924126148224, 6.939697742462158, 1.2845574617385864, 0.2130890041589737, -0.0785064771771431, -0.011215210892260075, -2.4642134829734483, 3.491876989411329, -6.411280227610455, -3.1316009631359005, -0.11177724366124883, 0.00400942180293859, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486804897.408, -120.09837536619642, -162.93338765155448, 55.39876277300298, -166.4466183945556, 89.96678729454439, -0.024032247965775824, -611.5679754897578, -728.0152922595372, 679.4096162320609, 45.177287835293185, 172.5839663401886, 5.738462891165104, 0.2471924126148224, 6.958008289337158, 1.2554138898849487, 0.2512207329273224, -0.0762634351849556, -0.01570129580795765, -0.9630275885888302, 5.136182480969677, -8.213860487158025, -3.249704246735814, 0.083963736738566, -0.08315933335661743, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486805897.5251, -120.10042442294743, -162.93131127404678, 55.40288820726167, -166.4493504702236, 89.96678729454439, -0.027447342550782197, -611.5628476170236, -727.9478522364998, 679.4604201535491, 45.17545059791707, 172.58542629481803, 5.733180580641422, 0.2883911430835724, 6.944275379180908, 1.2823156118392944, 0.2714081108570099, -0.0807495191693306, -0.01345825381577015, -1.9882762101392433, 5.122733921356029, -7.08466282870842, -2.870916039202005, -0.36216789088009793, 0.0006218761541151585, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486806899.5244, -120.09700932836242, -162.9347536893885, 55.40015613159366, -166.4466183945556, 89.96678729454439, -0.02813036146778347, -611.5482034496669, -728.0359110196744, 679.3958675435508, 45.169052857930076, 172.58603950743088, 5.7383622765670355, 0.2426147758960724, 6.935120105743408, 1.2867993116378784, 0.2646789848804474, -0.0852356031537056, -0.01794433780014515, -1.4820769761377197, 4.354238883871475, -6.617012752216443, -2.772384413135578, -0.3257326325432292, -0.1108583714649477, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486807901.0667, -120.09905838511342, -162.93407067047147, 55.39807975408598, -166.4493504702236, 89.97021604950774, -0.026764323633780923, -611.5668003260063, -728.0168103989641, 679.3859298495729, 45.173190256131306, 172.58025543946027, 5.743063058757333, 0.2609253227710724, 6.967163562774658, 1.280073881149292, 0.2377624809741974, -0.0785064771771431, -0.01570129580795765, -1.9159024745869249, 4.403576542204331, -7.572825523591024, -3.187908213537235, -0.07127290523166938, -0.05556924147514061, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486808903.0002, -120.09493295085474, -162.93202161372048, 55.401522169427665, -166.4438589981309, 89.96541442652122, -0.027447342550782197, -611.5124008607751, -728.0324769663875, 679.4573754183688, 45.1677801814863, 172.59000214825585, 5.728754358240724, 0.2838135063648224, 6.944275379180908, 1.280073881149292, 0.2265472710132599, -0.0785064771771431, -0.01794433780014515, -2.590803764100354, 4.198252384987213, -6.79730279003322, -3.1551858215689608, -0.17772078239395253, -0.05344832158490606, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486809903.286, -120.09974140403042, -162.93131127404678, 55.401522169427665, -166.4479844323896, 89.96953303059074, -0.02539828579977837, -611.5562576386781, -727.9688563783648, 679.4562999754211, 45.17701211420816, 172.58238355901253, 5.732064199346072, 0.2334595024585724, 6.944275379180908, 1.2711066007614136, 0.2400055229663849, -0.0785064771771431, -0.01794433780014515, -1.3574767906452638, 4.253087801999417, -7.204195759162241, -3.081617890494865, -0.02349823113405035, -0.11810278028775253, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
