7.491,-119.9521,-162.737,55.7654,-166.6251,89.9956,-0.0047984,-607.2667,-725.4106,684.2915,45.0109,172.7295,5.1561,-1.0712,8.0475,1.7015,0.096451,0.10318,0.17271,0.89066,-7.4753,-25.0074,-4.4805,4.6047,1.9731,0,0,0,0,0,0,0,00000000,00000000
17.3568,-119.959,-162.737,55.7695,-166.6251,89.9963,-0.0027494,-607.3408,-725.314,684.3164,45.0245,172.7265,5.1495,-1.03,8.0521,1.6903,0.098694,0.096451,0.16374,0.77518,-6.916,-25.5215,-4.6701,4.5515,1.8758,0,0,0,0,0,0,0,00000000,00000000
24.7145,-119.972,-162.737,55.7681,-166.6258,89.9997,-0.0041154,-607.4995,-725.1874,684.3059,45.0412,172.7177,5.1509,-1.062,8.0383,1.6993,0.10318,0.10991,0.17496,1.0451,-7.4399,-24.837,-4.3483,4.6535,2.0011,0,0,0,0,0,0,0,00000000,00000000
31.8403,-119.9803,-162.7349,55.7668,-166.6237,89.9963,-0.0034324,-607.6104,-725.0908,684.3372,45.0555,172.7179,5.1481,-0.98877,8.0429,1.7733,0.10991,0.089722,0.1458,-1.1366,-8.8515,-22.6043,-3.7923,3.85,1.6955,0,0,0,0,0,0,0,00000000,00000000
40.0444,-119.983,-162.7363,55.7695,-166.6265,89.9977,-0.0041154,-607.6349,-725.0525,684.3232,45.0582,172.7154,5.1495,-0.97961,8.0154,1.7621,0.10991,0.098694,0.16823,-1.3805,-8.6037,-22.152,-3.7194,3.8597,2.0112,0,0,0,0,0,0,0,00000000,00000000
53.3684,-119.9906,-162.7363,55.7654,-166.6251,89.9963,-0.002039,-607.7517,-724.9962,684.3026,45.0727,172.7119,5.154,-0.84686,8.0521,1.7553,0.087479,0.096451,0.1458,-3.0965,-7.6804,-23.2636,-4.2971,3.808,1.8411,0,0,0,0,0,0,0,00000000,00000000
55.1948,-119.9961,-162.7363,55.7661,-166.6265,89.997,-0.0061645,-607.8104,-724.9342,684.3024,45.0745,172.7103,5.1546,-0.91095,8.0475,1.7822,0.10542,0.10318,0.15701,-0.37511,-9.8245,-22.4188,-3.5801,4.1347,1.7798,0,0,0,0,0,0,0,00000000,00000000
64.0726,-119.9981,-162.7356,55.7709,-166.6272,89.9984,-0.0027494,-607.8169,-724.8773,684.3405,45.0829,172.7083,5.1469,-0.72784,7.9514,1.7509,0.12337,0.1144,0.16374,1.1574,-9.994,-20.734,-3.029,4.2523,1.789,0,0,0,0,0,0,0,00000000,00000000
71.045,-119.9974,-162.7335,55.7675,-166.6258,89.9963,-0.0034324,-607.8156,-724.8881,684.3572,45.0812,172.7107,5.1478,-0.62714,7.933,1.7486,0.11888,0.10542,0.14131,3.7991,-11.7708,-20.2437,-2.7628,4.5839,1.2969,0,0,0,0,0,0,0,00000000,00000000
79.0093,-119.9974,-162.7356,55.7702,-166.6272,89.9984,-0.0061645,-607.8067,-724.8905,684.3364,45.0766,172.7096,5.1479,-0.24719,7.8964,1.7509,0.11888,0.096451,0.14804,1.4627,-10.9421,-19.065,-2.7694,3.9983,1.5338,0,0,0,0,0,0,0,00000000,00000000
86.989,-119.9974,-162.7356,55.7709,-166.6272,89.997,-0.0054815,-607.8085,-724.8844,684.3405,45.078,172.7109,5.1474,0.2243,7.9102,1.7576,0.11888,0.089722,0.14131,-2.0014,-9.1123,-19.2266,-3.1288,3.3768,1.6879,0,0,0,0,0,0,0,00000000,00000000
95.0218,-119.9967,-162.7342,55.7702,-166.6251,89.9977,-0.002039,-607.8007,-724.8882,684.365,45.0822,172.7101,5.1431,0.45776,7.901,1.7621,0.10318,0.10767,0.1615,-2.388,-9.6736,-18.6822,-3.0249,3.5534,1.964,0,0,0,0,0,0,0,00000000,00000000
102.986,-119.992,-162.7376,55.7702,-166.6272,89.9984,-0.0047984,-607.749,-724.9649,684.3031,45.0703,172.7108,5.1511,0.72327,7.9056,1.7217,0.11664,0.091965,0.1458,-1.159,-8.3757,-20.2428,-3.4326,3.6437,1.7205,0,0,0,0,0,0,0,00000000,00000000
111.0504,-119.9885,-162.7363,55.7702,-166.6278,89.9949,-0.0041154,-607.7068,-724.9831,684.3231,45.0669,172.7154,5.1516,0.84686,7.9193,1.7217,0.12112,0.10094,0.1615,-0.48113,-8.5174,-20.6929,-3.3854,3.8574,1.887,0,0,0,0,0,0,0,00000000,00000000
119.1607,-119.9816,-162.7356,55.7675,-166.6265,89.997,-0.0041154,-607.6224,-725.0724,684.3218,45.0561,172.7162,5.1519,0.90637,7.9102,1.7195,0.11664,0.10767,0.15926,-1.3654,-8.1901,-20.4497,-3.4089,3.7975,1.9219,0,0,0,0,0,0,0,00000000,00000000
127.0549,-119.9761,-162.7335,55.7688,-166.6278,89.9977,-0.0054815,-607.5333,-725.1039,684.3591,45.0458,172.719,5.1486,0.82397,7.9376,1.7352,0.12785,0.10991,0.17271,-0.10609,-8.9344,-20.8562,-3.2226,3.9851,2.0051,0,0,0,0,0,0,0,00000000,00000000
135.9744,-119.9686,-162.7356,55.7702,-166.6258,89.9977,-0.0061645,-607.4456,-725.1988,684.3406,45.0336,172.7228,5.1467,0.94757,7.8918,1.7105,0.12561,0.10318,0.16599,-5.34,-5.2424,-20.1375,-3.7531,3.0365,2.307,0,0,0,0,0,0,0,00000000,00000000
